X, Result (x)
0.0, 1.0000035425842861;
0.15, 0.9887722557919835;
0.3, 0.9553368352204968;
0.44999999999999996, 0.9004394985770037;
0.6, 0.8253335223602369;
0.75, 0.7316884057479257;
0.9, 0.6216098928000288;
1.05, 0.49757310193593945;
1.2, 0.3623579453249975;
1.3499999999999999, 0.21900231918063015;
1.4999999999999998, 0.07073718684864658;
1.6499999999999997, -0.07912086283622219;
1.7999999999999996, -0.22719682987397613;
1.9499999999999995, -0.37018105461087764;
2.0999999999999996, -0.5048484020239191;
2.2499999999999996, -0.6281735383081665;
2.3999999999999995, -0.737393207993676;
2.5499999999999994, -0.8300512741578893;
2.6999999999999993, -0.9040640106191723;
2.849999999999999, -0.9577876096336863;
2.999999999999999, -0.9899937532412885;
3.149999999999999, -0.9999684146650943;
3.299999999999999, -0.987479574222886;
3.449999999999999, -0.952817639008712;
3.5999999999999988, -0.8967568586381981;
3.7499999999999987, -0.8205554324223113;
3.8999999999999986, -0.7259230086377781;
4.049999999999999, -0.6150029909024426;
4.199999999999999, -0.4902623001391202;
4.35, -0.3545124540847904;
4.5, -0.21080323254880404;
4.65, -0.06234796449819732;
4.800000000000001, 0.08750021494990001;
4.950000000000001, 0.23538410016617298;
5.100000000000001, 0.37798328640122403;
5.250000000000002, 0.5120850301687124;
5.400000000000002, 0.6346919231957279;
5.5500000000000025, 0.7430444691731346;
5.700000000000003, 0.8347088132133443;
5.850000000000003, 0.9076254783513771;
6.0000000000000036, 0.9601709911465439;
6.150000000000004, 0.9911453537356383;
6.300000000000004, 0.999861411595406;
6.450000000000005, 0.9861239956269678;
6.600000000000005, 0.9502320861917535;
6.750000000000005, 0.8930053528481657;
6.900000000000006, 0.8157231923725895;
7.050000000000006, 0.7201208254795329;
7.200000000000006, 0.6083446269076597;
7.350000000000007, 0.4829166267410687;
7.500000000000007, 0.34663661473054425;
7.6500000000000075, 0.20257242803522113;
7.800000000000008, 0.053959852941765814;
7.950000000000008, -0.09586287913816441;
8.100000000000009, -0.2435450284794163;
8.250000000000009, -0.3857495488513384;
8.40000000000001, -0.5192915822356005;
8.55000000000001, -0.6411725187672579;
8.70000000000001, -0.7486559472913101;
8.85000000000001, -0.8393119636736966;
9.00000000000001, -0.9111283317735446;
9.150000000000011, -0.962482029737945;
9.300000000000011, -0.992219270128832;
9.450000000000012, -0.9996826507537978;
9.600000000000012, -0.984689126146114;
9.750000000000012, -0.9475820538907376;
9.900000000000013, -0.8891950959502641;
10.050000000000013, -0.8108400268639486;
10.200000000000014, -0.7142648167607979;
10.350000000000014, -0.6016557804231824;
10.500000000000014, -0.4755343588829547;
10.650000000000015, -0.338732627116439;
10.800000000000015, -0.19432229445738727;
10.950000000000015, -0.04555947579074018;
11.100000000000016, 0.10423435221388168;
11.250000000000016, 0.2516867631137758;
11.400000000000016, 0.39348593128030057;
11.550000000000017, 0.5264467586329158;
11.700000000000017, 0.6475974308452986;
11.850000000000017, 0.7541958114607854;
12.000000000000018, 0.8438571620289858;
12.150000000000018, 0.9145682656331959;
12.300000000000018, 0.9647417285451827;
12.450000000000019, 0.9932353553019032;
12.60000000000002, 0.9994325040381267;
12.75000000000002, 0.9831839286918579;
12.90000000000002, 0.944854132729905;
13.05000000000002, 0.8853139063167723;
13.20000000000002, 0.8058853114878808;
13.350000000000021, 0.7083586746565059;
13.500000000000021, 0.5949244959094951;
13.650000000000022, 0.46813068724469925;
13.800000000000022, 0.3308139965581007;
13.950000000000022, 0.1860745788213864;
14.100000000000023, 0.0371558946354476;
14.250000000000023, -0.1125979392604554;
14.400000000000023, -0.2598242196531298;
14.550000000000024, -0.4012050147766379;
14.700000000000024, -0.5335827669957693;
14.850000000000025, -0.6539769403638832;
