X, Result (x)
0.1, 9.966669984940546;
0.25, 3.9164481363275185;
0.4, 2.3652208113159094;
0.55, 1.631025751748935;
0.7000000000000001, 1.1872408130502108;
0.8500000000000001, 0.8784783342779883;
1.0, 0.642099333521726;
1.15, 0.44753322525520634;
1.2999999999999998, 0.2776155405410361;
1.4499999999999997, 0.12138692396906656;
1.5999999999999996, -0.029216004146728182;
1.7499999999999996, -0.18114543065473077;
1.8999999999999995, -0.3416356828983134;
2.0499999999999994, -0.5196014380384942;
2.1999999999999993, -0.7279093013155055;
2.349999999999999, -0.9876863431506561;
2.499999999999999, -1.3386442119019035;
2.649999999999999, -1.8676199884192635;
2.799999999999999, -2.81267240286086;
2.949999999999999, -5.155166555024758;
3.0999999999999988, -24.02926136342458;
3.2499999999999987, 9.188254443884057;
3.3999999999999986, 3.7832921025411292;
3.5499999999999985, 2.3108232748833557;
3.6999999999999984, 1.6006796383738027;
3.8499999999999983, 1.1671748134443594;
3.9999999999999982, 0.8636942366346703;
4.149999999999999, 0.6302871060376566;
4.299999999999999, 0.43748133403528205;
4.449999999999999, 0.2685869507286275;
4.6, 0.11286399314813028;
4.75, -0.03762959591105823;
4.9, -0.1898446042357192;
5.050000000000001, -0.3510560508403665;
5.200000000000001, -0.530334116136108;
5.350000000000001, -0.7408381059578711;
5.500000000000002, -1.0044389292155331;
5.650000000000002, -1.3624004364079334;
5.8000000000000025, -1.9059571446874246;
5.950000000000003, -2.889429518243407;
6.100000000000003, -5.397682516601331;
6.2500000000000036, -30.118450624987663;
6.400000000000004, 8.522265605025904;
6.550000000000004, 3.6585740064573877;
6.700000000000005, 2.258561384623964;
6.850000000000005, 1.5711199037667603;
7.000000000000005, 1.1475010405596895;
7.150000000000006, 0.8491112818644831;
7.300000000000006, 0.6185984653320763;
7.450000000000006, 0.42749664024808304;
7.600000000000007, 0.25959052468741806;
7.750000000000007, 0.10436235091127478;
7.9000000000000075, -0.04604424654521939;
8.050000000000008, -0.1985685585723755;
8.200000000000008, -0.360523316489048;
8.350000000000009, -0.5411438573062736;
8.500000000000009, -0.7539391157722749;
8.65000000000001, -1.0214815445516578;
8.80000000000001, -1.3866823420858423;
8.95000000000001, -1.945566241216986;
9.10000000000001, -2.97003400235331;
9.25000000000001, -5.663404952005489;
9.400000000000011, -40.348138165292426;
9.550000000000011, 7.944153626074266;
9.700000000000012, 3.54127002221668;
9.850000000000012, 2.2082696888325852;
10.000000000000012, 1.5423870316935122;
10.150000000000013, 1.1282199786342093;
10.300000000000013, 0.834747107047754;
10.450000000000014, 0.6070273762382746;
10.600000000000014, 0.4175794484832604;
10.750000000000014, 0.250626579486161;
10.900000000000015, 0.09586729048687266;
11.050000000000015, -0.054478241530907454;
11.200000000000015, -0.2073201134384139;
11.350000000000016, -0.37005016053873724;
11.500000000000016, -0.5520544420921764;
11.650000000000016, -0.7672111374001334;
11.800000000000017, -1.0387965945694961;
11.950000000000017, -1.4115388009542005;
12.100000000000017, -1.9864385507581934;
12.250000000000018, -3.054716453518674;
12.400000000000018, -5.9551686304189895;
12.550000000000018, -61.08947611654531;
12.700000000000019, 7.4385171673631465;
12.85000000000002, 3.4305657265061775;
13.00000000000002, 2.159714203939727;
13.15000000000002, 1.5143137385174008;
13.30000000000002, 1.1093008425642805;
13.45000000000002, 0.8205935741368477;
13.600000000000021, 0.5955968440802067;
13.750000000000021, 0.4077561671117318;
13.900000000000022, 0.24171430143075393;
14.050000000000022, 0.08738600227312573;
14.200000000000022, -0.06291906297540738;
14.350000000000023, -0.21611009530060954;
14.500000000000023, -0.379640384645162;
14.650000000000023, -0.5630838445969967;
14.800000000000024, -0.7806548610078118;
14.950000000000024, -1.056435050064098;
