X, Result (x)
0.1, 10.016694490818029;
0.25, 4.042105263157895;
0.4, 2.5679303166429275;
0.55, 1.9131790289013142;
0.7000000000000001, 1.5522705937174646;
0.8500000000000001, 1.3310620604318741;
1.0, 1.1883989625088422;
1.15, 1.0955850140766419;
1.2999999999999998, 1.037819567295281;
1.4499999999999997, 1.007339005041292;
1.5999999999999996, 1.00042223940593;
1.7499999999999996, 1.0162749126715758;
1.8999999999999995, 1.0567479751494422;
2.0499999999999994, 1.1269375835465612;
2.1999999999999993, 1.2368706719330393;
2.349999999999999, 1.4055334726018687;
2.499999999999999, 1.6709196019878327;
2.649999999999999, 2.118499520886345;
2.799999999999999, 2.9851464612231693;
2.949999999999999, 5.25124836750214;
3.0999999999999988, 24.049997523847487;
3.2499999999999987, -9.242442505686219;
3.3999999999999986, -3.9132196556515164;
3.5499999999999985, -2.51791312195224;
3.6999999999999984, -1.887377741213242;
3.8499999999999983, -1.5369858394799338;
3.9999999999999982, -1.3213525084538862;
4.149999999999999, -1.1820619730335888;
4.299999999999999, -1.0915155129043712;
4.449999999999999, -1.035439106962806;
4.6, -1.0063474779405772;
4.75, -1.000704665296535;
4.9, -1.017854760010399;
5.050000000000001, -1.0598293680388662;
5.200000000000001, -1.1319213999005446;
5.350000000000001, -1.2445270831569077;
5.500000000000002, -1.417361323340251;
5.650000000000002, -1.6900219138108137;
5.8000000000000025, -2.1523755844021477;
5.950000000000003, -3.057578203717236;
6.100000000000003, -5.489524666478058;
6.2500000000000036, -30.134975432345538;
6.400000000000004, 8.580706933908681;
6.550000000000004, 3.792747077071194;
6.700000000000005, 2.470040431705289;
6.850000000000005, 1.862368092559137;
7.000000000000005, 1.5220878824921211;
7.150000000000006, 1.3118703401563871;
7.300000000000006, 1.1758681869207361;
7.450000000000006, 1.0875462988043227;
7.600000000000007, 1.0331475572251083;
7.750000000000007, 1.0054371676988674;
7.9000000000000075, 1.0010590087661309;
8.050000000000008, 1.019522622955147;
8.200000000000008, 1.0630008838924407;
8.350000000000009, 1.137024200323903;
8.500000000000009, 1.252356791497044;
8.65000000000001, 1.4294770542746573;
8.80000000000001, 1.7096483609979936;
8.95000000000001, 2.187522262652281;
9.10000000000001, 3.1338769695048567;
9.25000000000001, 5.751050075088339;
9.400000000000011, 40.36088150825677;
9.550000000000011, -8.006839109008345;
9.700000000000012, -3.679751044009815;
9.850000000000012, -2.4241381393833907;
10.000000000000012, -1.8381943616860934;
10.150000000000013, -1.5076070826104286;
10.300000000000013, -1.3026128032226885;
10.450000000000014, -1.1698193038358553;
10.600000000000014, -1.0836804484485816;
10.750000000000014, -1.0309309177409667;
10.900000000000015, -1.004585998771131;
11.050000000000015, -1.0014851554903195;
11.200000000000015, -1.0212690020438226;
11.350000000000016, -1.0662804065132476;
11.500000000000016, -1.1422657333525323;
11.650000000000016, -1.2603997374249012;
11.800000000000017, -1.44190380453028;
11.950000000000017, -1.7298596605878827;
12.100000000000017, -2.223930622675466;
12.250000000000018, -3.21421033745874;
12.400000000000018, -6.038553321489735;
12.550000000000018, -61.097769531918395;
12.700000000000019, 7.50545141436894;
12.85000000000002, 3.573352844696008;
13.00000000000002, 2.3800117239637513;
13.15000000000002, 1.8147027772066215;
13.30000000000002, 1.4935028061725963;
13.45000000000002, 1.293591640063726;
13.600000000000021, 1.1639357502623788;
13.750000000000021, 1.0799327627077642;
13.900000000000022, 1.0287966530166566;
14.050000000000022, 1.003807967499949;
14.200000000000022, 1.0019721126513186;
14.350000000000023, 1.0230756965126673;
14.500000000000023, 1.069640175076366;
14.650000000000023, 1.1476366281859878;
14.800000000000024, 1.2686350834971305;
14.950000000000024, 1.4546760733389072;
