X, Result (x)
-9.9, 6.727276290248783;
-9.65, 24.477886218019147;
-9.4, 1588.6338258734297;
-9.15, 9.821654881096391;
-8.9, 1.6977910241387963;
-8.65, -0.07092018685179258;
-8.4, -1.2073827687621321;
-8.15, -3.088803299171705;
-7.9, -21.691702266160394;
-7.65, 4.755794195287059;
-7.4, 1.9671338782750363;
-7.15, 1.3068544755406775;
-6.9, 1.6700999372783083;
-6.65, 5.124013621026664;
-6.4, 65.06149857777635;
-6.15, 64.2544602750039;
-5.9, 9.979228276632316;
-5.65, 4.9804916780285815;
-5.4, 3.9095087513419893;
-5.15, 4.258881894652638;
-4.9, 7.228937092633826;
-4.65, -13.96956882111715;
-4.4, -0.7912850810839303;
-4.15, 1.2370960375707627;
-3.9000000000000004, 2.9164276871838997;
-3.6500000000000004, 6.003111259923185;
-3.4000000000000004, 19.159236157397064;
-3.1500000000000004, 14264.200259020516;
-2.9000000000000004, 13.230795938674964;
-2.6500000000000004, 2.116744413961907;
-2.4000000000000004, 0.0925668515398097;
-2.1500000000000004, -1.04673711345538;
-1.9000000000000004, -2.7098985471740886;
-1.6500000000000004, -12.556416107179302;
-1.4000000000000004, 5.728183462446712;
-1.1500000000000004, 2.144253925674779;
-0.9000000000000004, 1.3402321177094305;
-0.6500000000000004, 1.538015215816555;
-0.40000000000000036, 4.190970260453348;
-0.15000000000000036, 38.11131169349851;
0.09999999999999964, -126.85589436937592;
0.34999999999999964, -3.7709121341066054;
0.5999999999999996, -0.2199303376526892;
0.8499999999999996, -0.004129184874758217;
1.0999999999999996, 5.190094089816092E-4;
1.3499999999999996, 0.010463467829165204;
1.5999999999999996, 0.02645192077670675;
1.8499999999999996, 0.0393455597005993;
2.0999999999999996, 0.04576113649155082;
2.3499999999999996, 0.04597645801250735;
2.5999999999999996, 0.04167009543574912;
2.8499999999999996, 0.03474447448396341;
3.0999999999999996, 0.026833990665596885;
3.3499999999999996, 0.01915146284350143;
3.5999999999999996, 0.0124862926704772;
3.8499999999999996, 0.007257769118861541;
4.1, 0.003587186686246204;
4.35, 0.0013642584997583223;
4.6, 3.076419469460214E-4;
4.85, 1.2461578606541516E-5;
5.1, -1.0363971373742266E-5;
5.35, -3.043089514629809E-4;
5.6, -0.0014438839897911425;
5.85, -0.004017732173638726;
6.1, -0.008614183296531545;
6.35, -0.015814693479462565;
6.6, -0.026181618729141567;
6.85, -0.04026211546816229;
7.1, -0.05857186476537414;
7.35, -0.08161161985369532;
7.6, -0.10984084018619904;
7.85, -0.1437104679827625;
8.1, -0.1836205502916312;
8.35, -0.22997368689031564;
8.6, -0.2831108206045245;
8.85, -0.3433902674560713;
9.1, -0.4110959906475168;
9.35, -0.48654731536805623;
9.6, -0.5699741875842331;
9.85, -0.6616626753989625;
10.1, -0.76179194931967;
10.35, -0.8706205411714701;
10.6, -0.988280058783586;
10.85, -1.115006956593584;
11.1, -1.2508883030617675;
11.35, -1.396143546157642;
