X, Result (x)
0.1, -3.321907113027931;
0.25, -1.9999958104639204;
0.4, -1.3219276043896866;
0.55, -0.8624962602476066;
0.7000000000000001, -0.5145731975102502;
0.8500000000000001, -0.23446528021857477;
1.0, 0.0;
1.15, 0.20163388890833647;
1.2999999999999998, 0.37851167802184577;
1.4499999999999997, 0.5360529043934311;
1.5999999999999996, 0.6780713873737223;
1.7499999999999996, 0.807354872633088;
1.8999999999999995, 0.9259988265475493;
2.0499999999999994, 1.0356238332549101;
2.1999999999999993, 1.1375029657544127;
2.349999999999999, 1.2326590364241359;
2.499999999999999, 1.3219276043896862;
2.649999999999999, 1.405990996460614;
2.799999999999999, 1.485423800534287;
2.949999999999999, 1.5607138602542454;
3.0999999999999988, 1.6322659155845594;
3.2499999999999987, 1.700435407641986;
3.3999999999999986, 1.765532945534298;
3.5499999999999985, 1.8278157639223118;
3.6999999999999984, 1.8875197778251274;
3.8499999999999983, 1.9448558990315339;
3.9999999999999982, 1.99999581046392;
4.149999999999999, 2.053104783823754;
4.299999999999999, 2.1043333672460145;
4.449999999999999, 2.1538002749312706;
4.6, 2.201626368907788;
4.75, 2.2479234976914984;
4.9, 2.292775882580722;
5.050000000000001, 2.3362750648694144;
5.200000000000001, 2.378506918618869;
5.350000000000001, 2.4195322860978585;
5.500000000000002, 2.4594225604727478;
5.650000000000002, 2.498245513534426;
5.8000000000000025, 2.5360456194954546;
5.950000000000003, 2.5728799577776593;
6.100000000000003, 2.6087965062371423;
6.2500000000000036, 2.6438482922120614;
6.400000000000004, 2.6780616131767236;
6.550000000000004, 2.7114816840072473;
6.700000000000005, 2.744152634291599;
6.850000000000005, 2.776093176093702;
7.000000000000005, 2.807341274712814;
7.150000000000006, 2.837934264679832;
7.300000000000006, 2.8678851847740816;
7.450000000000006, 2.897226404641286;
7.600000000000007, 2.9259821568390514;
7.750000000000007, 2.9541846096035616;
7.9000000000000075, 2.9818383016026084;
8.050000000000008, 3.008971329725397;
8.200000000000008, 3.035611827047487;
8.350000000000009, 3.0617615513300427;
8.500000000000009, 3.0874452221500115;
8.65000000000001, 3.112687702760547;
8.80000000000001, 3.137488613719078;
8.95000000000001, 3.1618699192561244;
9.10000000000001, 3.185845516417744;
9.25000000000001, 3.2094382182169827;
9.400000000000011, 3.2326428675951724;
9.550000000000011, 3.2554797264636615;
9.700000000000012, 3.2779693852749934;
9.850000000000012, 3.300105724352039;
10.000000000000012, 3.3219071130279336;
10.150000000000013, 3.343383483848876;
10.300000000000013, 3.3645543337808617;
10.450000000000014, 3.3854100818904698;
10.600000000000014, 3.405968204864249;
10.750000000000014, 3.4262465687216936;
10.900000000000015, 3.4462353022211967;
11.050000000000015, 3.4659504806896124;
11.200000000000015, 3.4853994474083794;
11.350000000000016, 3.5045994929655007;
11.500000000000016, 3.5235381318050987;
11.650000000000016, 3.5422309887756747;
11.800000000000017, 3.5606843215344064;
11.950000000000017, 3.578915038039045;
12.100000000000017, 3.596908375918751;
12.250000000000018, 3.6146796782631014;
12.400000000000018, 3.6322446802271227;
12.550000000000018, 3.649588965525463;
12.700000000000019, 3.666726856180238;
12.85000000000002, 3.683663173503426;
13.00000000000002, 3.7004134782266305;
13.15000000000002, 3.716961556105997;
13.30000000000002, 3.733321624395117;
13.45000000000002, 3.7495082640477135;
13.600000000000021, 3.7655057763175397;
13.750000000000021, 3.781327518326329;
13.900000000000022, 3.7969772830231396;
14.050000000000022, 3.812469597476355;
14.200000000000022, 3.8277873116979273;
14.350000000000023, 3.8429437795060273;
14.500000000000023, 3.8579423346149135;
14.650000000000023, 3.8727974942946197;
14.800000000000024, 3.8874908130637507;
14.950000000000024, 3.902035679789933;
