X, Result (x)
0.1, 1.0050191795206491;
0.25, 1.032084460831953;
0.4, 1.0857042625184068;
0.55, 1.1729913073719582;
0.7000000000000001, 1.3074606066897534;
0.8500000000000001, 1.5151905385644593;
1.0, 1.8508023610471973;
1.15, 2.4480529092602747;
1.2999999999999998, 3.7383338312859125;
1.4499999999999997, 8.298579221745463;
1.5999999999999996, -34.242267846815196;
1.7499999999999996, -5.610270758684661;
1.8999999999999995, -3.093201407371663;
2.0499999999999994, -2.1688500089622016;
2.1999999999999993, -1.6992098736720627;
2.349999999999999, -1.4230565020452821;
2.499999999999999, -1.2482178514138889;
2.649999999999999, -1.1343311455342817;
2.799999999999999, -1.0613203507763225;
2.949999999999999, -1.0186379647392247;
3.0999999999999988, -1.000862954549842;
3.2499999999999987, -1.0058975360481262;
3.3999999999999986, -1.034342458786917;
3.5499999999999985, -1.0896173451772668;
3.6999999999999984, -1.1791102329075092;
3.8499999999999983, -1.3168428771558682;
3.9999999999999982, -1.5298845961997527;
4.149999999999999, -1.8754341659703353;
4.299999999999999, -2.4949990502139747;
4.449999999999999, -3.8551355684028894;
4.6, -8.916461750735499;
4.75, 26.593553320684407;
4.9, 5.36151535150605;
5.050000000000001, 3.018974791922318;
5.200000000000001, 2.1343552403293655;
5.350000000000001, 1.6798907523092226;
5.500000000000002, 1.4110975611500942;
5.650000000000002, 1.2404737026264303;
5.8000000000000025, 1.1292885521595164;
5.950000000000003, 1.0581944236438938;
6.100000000000003, 1.0170151077975138;
6.2500000000000036, 1.0005486606055414;
6.400000000000004, 1.0068574873855505;
6.550000000000004, 1.0366735975210535;
6.700000000000005, 1.093634403085544;
6.850000000000005, 1.185376168995192;
7.000000000000005, 1.3264370390023597;
7.150000000000006, 1.5449922385623887;
7.300000000000006, 1.9008585582078774;
7.450000000000006, 2.543987943795775;
7.600000000000007, 3.9799124350519226;
7.750000000000007, 9.634098493561677;
7.9000000000000075, -21.741239869850087;
8.050000000000008, -5.134360798532691;
8.200000000000008, -2.9484941341504958;
8.350000000000009, -2.101149601852316;
8.500000000000009, -1.6610847816461014;
8.65000000000001, -1.3994154489615123;
8.80000000000001, -1.2329055538605527;
8.95000000000001, -1.1243627774318017;
9.10000000000001, -1.0551653506396645;
9.25000000000001, -1.0154756941849645;
9.400000000000011, -1.0003158347211;
9.550000000000011, -1.0078907692228323;
9.700000000000012, -1.0391049033042818;
9.850000000000012, -1.09775456849427;
10.000000000000012, -1.1917854104801375;
10.150000000000013, -1.3362705067813943;
10.300000000000013, -1.5604879516499706;
10.450000000000014, -1.927127753422227;
10.600000000000014, -2.5951479470188135;
10.750000000000014, -4.113414147272803;
10.900000000000015, -10.478923454175344;
11.050000000000015, 18.38321368948998;
11.200000000000015, 4.926048829059699;
11.350000000000016, 2.881448301389477;
11.500000000000016, 2.0691179098633334;
11.650000000000016, 1.6428329516905187;
11.800000000000017, 1.3880521095930642;
11.950000000000017, 1.2255133613178024;
12.100000000000017, 1.1195567171341019;
12.250000000000018, 1.052212336682296;
12.400000000000018, 1.0140020705114572;
12.550000000000018, 1.0001357584955755;
12.700000000000019, 1.008998331992762;
12.85000000000002, 1.041622032508105;
13.00000000000002, 1.1020030889374899;
13.15000000000002, 1.1983664488069155;
13.30000000000002, 1.3463460486698877;
13.45000000000002, 1.5764096634858584;
13.600000000000021, 1.9542342472614511;
13.750000000000021, 2.648476834470158;
13.900000000000022, 4.256250651810875;
14.050000000000022, 11.48705675266547;
14.200000000000022, -15.92477804450061;
14.350000000000023, -4.734048611146865;
14.500000000000023, -2.8175089330291487;
14.650000000000023, -2.03812742844249;
14.800000000000024, -1.62509086519918;
14.950000000000024, -1.376966878608057;
