X, Result (x)
0.0, 0.0;
0.15, 0.1494375;
0.3, 0.29552025;
0.44999999999999996, 0.43496627343749994;
0.6, 0.5646479999999999;
0.75, 0.6816385541643415;
0.9, 0.7833258498214286;
1.05, 0.8674189930957033;
1.2, 0.9320392704;
1.3499999999999999, 0.9757240299614724;
1.4999999999999998, 0.9974971226283482;
1.6499999999999997, 0.996871104491888;
1.7999999999999996, 0.9738473015796779;
1.9499999999999995, 0.9289587853004118;
2.0999999999999996, 0.863206937230602;
2.2499999999999996, 0.7780672581895414;
2.3999999999999995, 0.675463558583954;
2.5499999999999994, 0.5576846534299488;
2.6999999999999993, 0.42738208016353463;
2.849999999999999, 0.2874829476940026;
2.999999999999999, 0.1411196543411952;
3.149999999999999, -0.008408055950511967;
3.299999999999999, -0.15774747232860478;
3.449999999999999, -0.3035452876093746;
3.5999999999999988, -0.4425282023865398;
3.7499999999999987, -0.5715606773590125;
3.8999999999999986, -0.6877648114893677;
4.049999999999999, -0.7885225014243548;
4.199999999999999, -0.8715702940398052;
4.35, -0.9350530605013766;
4.5, -0.9775310993556457;
4.65, -0.9980563880589919;
4.800000000000001, -0.9961683954602847;
4.950000000000001, -0.9719102751629689;
5.100000000000001, -0.9258139855751836;
5.250000000000002, -0.8589331396730352;
5.400000000000002, -0.7727619064031062;
5.5500000000000025, -0.669235022814228;
5.700000000000003, -0.5506766392289055;
5.850000000000003, -0.41976494562904965;
6.0000000000000036, -0.2794172411025403;
6.150000000000004, -0.1327951320328676;
6.300000000000004, 0.016808028155692656;
6.450000000000005, 0.16604273580085788;
6.600000000000005, 0.31154253264447335;
6.750000000000005, 0.45004621346837076;
6.900000000000006, 0.5784436282748341;
7.050000000000006, 0.6938518335842897;
7.200000000000006, 0.7936670833033134;
7.350000000000007, 0.8756652974324786;
7.500000000000007, 0.9379974383663965;
7.6500000000000075, 0.9792632853699064;
7.800000000000008, 0.99853546613893;
7.950000000000008, 0.9953947125670906;
8.100000000000009, 0.9698914768065571;
8.250000000000009, 0.9226071461365439;
8.40000000000001, 0.854604029025877;
8.55000000000001, 0.7674100008631138;
8.70000000000001, 0.6629681373838897;
8.85000000000001, 0.5436465268555428;
9.00000000000001, 0.41211515461194254;
9.150000000000011, 0.27132749984564075;
9.300000000000011, 0.12445513995028168;
9.450000000000012, -0.02521811338298537;
9.600000000000012, -0.17432461342932368;
9.750000000000012, -0.31951547149813253;
9.900000000000013, -0.4575295557615845;
10.050000000000013, -0.585278141854814;
10.200000000000014, -0.6998760995454343;
10.350000000000014, -0.7987567929382866;
10.500000000000014, -0.8796998705145532;
10.650000000000015, -0.9408880088241603;
10.800000000000015, -0.9809353097796634;
10.950000000000015, -0.9989600988821633;
11.100000000000016, -0.994549919183857;
11.250000000000016, -0.9678035010705942;
11.400000000000016, -0.9193210031237702;
11.550000000000017, -0.8502039410831087;
11.700000000000017, -0.7619853187933786;
11.850000000000017, -0.6566546616492521;
12.000000000000018, -0.5365777985961176;
12.150000000000018, -0.40445192971694405;
12.300000000000018, -0.2632306625935116;
12.450000000000019, -0.11610624373826993;
12.60000000000002, 0.03362621740176164;
12.75000000000002, 0.18260439853634663;
12.90000000000002, 0.3274831275194654;
13.05000000000002, 0.46499413908561327;
13.20000000000002, 0.5920714533468573;
13.350000000000021, 0.7058515393191404;
13.500000000000021, 0.8037787792227262;
13.650000000000022, 0.8836634307918586;
13.800000000000022, 0.9436970110993297;
13.950000000000022, 0.9825375682515529;
14.100000000000023, 0.9993130630912589;
14.250000000000023, 0.9936471329907552;
14.400000000000023, 0.9656569025518059;
14.550000000000024, 0.9159864101831358;
14.700000000000024, 0.8457444382648979;
14.850000000000025, 0.7565082228203085;
